State,TopRate21,TopRate22,TopRate23,TopRate24
Alaska,9.4%,9.40%,9.40%,9.4%
California,8.84%,8.84%,8.84%,8.84%
Colorado,4.40%,4.55%,4.40%,4.40%
Connecticut (a),7.5%,7.50%,7.50%,7.5%
Delaware (b),8.7%,8.70%,8.70%,8.7%
Florida,5.5%,5.50%,5.50%,5.5%
Georgia (c),5.75%,5.75%,5.75%,5.75%
Hawaii,6.4%,6.40%,6.40%,6.4%
Idaho,5.8%,6.00%,5.80%,5.8%
Indiana,4.9%,4.90%,4.90%,4.9%
Iowa,7.1%,9.80%,8.40%,7.1%
Kansas,6.5%,7.00%,7.00%,6.5%
Kentucky,5.0%,5.00%,5.00%,5.0%
Louisiana,7.5%,7.50%,7.50%,7.5%
Maine,8.93%,8.93%,8.93%,8.93%
Maryland,8.25%,8.25%,8.25%,8.25%
Massachusetts,8.0%,8.00%,8.00%,8.0%
Michigan,6.0%,6.00%,6.00%,6.0%
Minnesota,9.8%,9.80%,9.80%,9.8%
Missouri,4.0%,4.00%,4.00%,4.0%
Montana,6.75%,6.75%,6.75%,6.75%
Nebraska,5.84%,7.50%,7.25%,5.84%
Nevada,0,0,0,0
New Hampshire,7.5%,7.60%,7.50%,7.5%
New Mexico,5.9%,5.90%,5.90%,5.9%
New York,7.25%,7.25%,7.25%,7.25%
North Carolina,2.5%,2.50%,2.50%,2.5%
North Dakota,4.31%,4.31%,4.31%,4.31%
Ohio,0,0,0,0
Oklahoma,4.0%,4.00%,4.00%,4.0%
Pennsylvania,8.49%,9.99%,8.99%,8.49%
Rhode Island,7.0%,7.00%,7.00%,7.0%
South Carolina,5.0%,5.00%,5.00%,5.0%
South Dakota,0,0,0,0
Tennessee (b),6.5%,6.50%,6.50%,6.5%
Texas,0,0,0,0
Utah,4.65%,4.85%,4.85%,4.65%
Vermont,8.5%,8.50%,8.50%,8.5%
Virginia,6.0%,6.00%,6.00%,6.0%
Washington,0,0,0,0
"Washington, D.C.",8.25%,8.25%,8.25%,8.25%
West Virginia,6.5%,6.50%,6.50%,6.5%
Wisconsin,7.9%,7.90%,7.90%,7.9%
Wyoming,0,0,0,0
