year,quarter,market,High_Qual_Percentage
2018,Q1,Atlanta,55.529585337937405
2018,Q1,Austin,60.28200382621704
2018,Q1,Baltimore,44.652249000242506
2018,Q1,Boston,50.43134753378433
2018,Q1,Charlotte,44.19313259662381
2018,Q1,Chicago Suburbs,42.47076240708953
2018,Q1,Detroit,27.862041418185868
2018,Q1,Houston,39.961822899441984
2018,Q1,Los Angeles,82.13793789018064
2018,Q1,Manhattan,33.15008766700013
2018,Q1,Nashville,40.221477606364516
2018,Q1,Northern New Jersey,93.36593901303067
2018,Q1,Northern Virginia,69.7687450271096
2018,Q1,Philadelphia,65.89915148150659
2018,Q1,Phoenix,21.946900582155752
2018,Q1,Salt Lake City,26.480560501986943
2018,Q1,San Diego,32.75366217861931
2018,Q1,San Francisco,63.4135780160212
2018,Q1,Seattle,39.649208341115894
2018,Q1,South Florida,37.71569913185821
2018,Q1,Tampa,43.200413797938324
2018,Q2,Atlanta,62.31353721736033
2018,Q2,Austin,50.0352695785003
2018,Q2,Baltimore,43.128302336252915
2018,Q2,Boston,47.94775314914814
2018,Q2,Charlotte,45.925300748716374
2018,Q2,Chicago Suburbs,54.24784669835334
2018,Q2,Detroit,27.88244675082659
2018,Q2,Houston,34.5272664160196
2018,Q2,Los Angeles,78.3936398699104
2018,Q2,Manhattan,36.197099781764884
2018,Q2,Nashville,26.610885301362703
2018,Q2,Northern New Jersey,89.53267340600365
2018,Q2,Northern Virginia,68.77108354102891
2018,Q2,Philadelphia,76.28790980425642
2018,Q2,Phoenix,32.330151190566006
2018,Q2,Salt Lake City,50.90566027892988
2018,Q2,San Diego,33.44746828203271
2018,Q2,San Francisco,67.80203346186865
2018,Q2,Seattle,40.96611777397438
2018,Q2,South Florida,30.03618070165266
2018,Q2,Tampa,26.010535479830633
2018,Q3,Atlanta,67.57960568475403
2018,Q3,Austin,45.62603776468765
2018,Q3,Baltimore,49.56336598271018
2018,Q3,Boston,49.57841329482023
2018,Q3,Charlotte,54.24035505225263
2018,Q3,Chicago Suburbs,43.78876265951413
2018,Q3,Detroit,21.604031216978903
2018,Q3,Houston,33.76081694119331
2018,Q3,Los Angeles,81.48158688479924
2018,Q3,Manhattan,31.991319960032367
2018,Q3,Nashville,38.82107539316227
2018,Q3,Northern New Jersey,92.26960635216997
2018,Q3,Northern Virginia,69.93043036812422
2018,Q3,Philadelphia,70.4767960036051
2018,Q3,Phoenix,26.177999536829226
2018,Q3,Salt Lake City,27.809511296067292
2018,Q3,San Diego,35.487039501530845
2018,Q3,San Francisco,56.752931094551506
2018,Q3,Seattle,35.670605074294095
2018,Q3,South Florida,32.57127684412904
2018,Q3,Tampa,34.286270144549384
2018,Q4,Atlanta,60.11593570128836
2018,Q4,Austin,47.08643410316047
2018,Q4,Baltimore,46.834272453177825
2018,Q4,Boston,43.14286333167945
2018,Q4,Charlotte,52.23852841583281
2018,Q4,Chicago Suburbs,50.57828197593638
2018,Q4,Detroit,24.774509262364177
2018,Q4,Houston,37.30764155931531
2018,Q4,Los Angeles,80.70788373077231
2018,Q4,Manhattan,37.22681660832006
2018,Q4,Nashville,32.24529955790282
2018,Q4,Northern New Jersey,89.77818056340037
2018,Q4,Northern Virginia,71.56435694133967
2018,Q4,Philadelphia,74.97244598120014
2018,Q4,Phoenix,29.705016119111388
2018,Q4,Salt Lake City,36.327638278718034
2018,Q4,San Diego,34.916765099605485
2018,Q4,San Francisco,59.800728252823234
2018,Q4,Seattle,39.223337261680726
2018,Q4,South Florida,33.7668087759462
2018,Q4,Tampa,29.238665309574202
2019,Q1,Atlanta,64.23998961730345
2019,Q1,Austin,46.862948547510854
2019,Q1,Baltimore,41.01670692333103
2019,Q1,Boston,48.06491650110104
2019,Q1,Charlotte,43.78253604095195
2019,Q1,Chicago Suburbs,48.4183416505011
2019,Q1,Detroit,26.691320136922712
2019,Q1,Houston,33.15903243837596
2019,Q1,Los Angeles,80.77661008221715
2019,Q1,Manhattan,34.47924027276687
2019,Q1,Nashville,40.73824623551403
2019,Q1,Northern New Jersey,87.4700115555139
2019,Q1,Northern Virginia,74.7606176980181
2019,Q1,Philadelphia,73.12942667425382
2019,Q1,Phoenix,27.59107020437831
2019,Q1,Salt Lake City,29.042814208446877
2019,Q1,San Diego,40.236791175905424
2019,Q1,San Francisco,61.01413089976443
2019,Q1,Seattle,33.03505886126655
2019,Q1,South Florida,34.26713758526627
2019,Q1,Tampa,28.93309155211924
2019,Q2,Atlanta,60.37329677716134
2019,Q2,Austin,54.09633219329862
2019,Q2,Baltimore,43.353561798562794
2019,Q2,Boston,48.72662675778247
2019,Q2,Charlotte,57.329945827364526
